iata,icao,name,country,latitude,longitude,altitude,continent
JNX,LGNX,Naxos Island National Airport,Greece,37.080551,25.36805,10,Europe
NYT,VYNT,Naypyidaw Airport,Myanmar (Burma),19.622499,96.201385,298,Asia
NZC,SPZA,Nazca Maria Reiche Neuman Airport,Peru,-14.854167,-74.961777,1860,America
NLA,FLSK,Ndola Simon Mwansa Kapwepwe International Airport,Zambia,-12.961792,28.517223,4308,Africa
NVA,SKNV,Neiva Benito Salas Airport,Colombia,2.950422,-75.2939,1464,America
NSN,NZNS,Nelson Airport,New Zealand,-41.297062,173.223969,3,Pacific
NLP,FANS,Nelspruit Airport,South Africa,-25.5007,30.913469,2901,Africa
MQP,FAKN,Nelspruit Kruger Mpumalanga International Airport,South Africa,-25.383101,31.1056,2829,Africa
YNS,CYHH,Nemiscau Airport,Canada,51.691101,-76.135597,804,America
NUM,OENN,Neom Bay Airport,Saudi Arabia,27.917212,35.294044,33,Asia
KEP,VNNG,Nepalgunj Airport,Nepal,28.103611,81.666946,540,Asia
CNP,BGCO,Nerlerit Inaat Airport,Greenland,70.743332,-22.6605,45,America
FNB,EDBN,Neubrandenburg Airport,Germany,53.602238,13.305836,229,Europe
QEN,EDSN,Neuhausen ob Eck Airport,Germany,47.97662,8.905584,2628,Europe
QAN,AT16,Neumayer III Skiway,Antarctica,-70.633331,-8.263333,55,UTC
EUM,EDHN,Neumunster Airport,Germany,54.079445,9.941389,72,Europe
NQN,SAZN,Neuquen Presidente Peron International Airport,Argentina,-38.949001,-68.155701,895,America
NVS,LFQG,Nevers Fourchambault Airport,France,47.003731,3.110742,602,Europe
NEV,TKPN,Nevis Newcastle International Airport,Saint Kitts And Nevis,17.205,-62.592499,13,America
NAV,LTAZ,Nevsehir Kapadokya Airport,Turkey,38.772236,34.533512,3091,Europe
EWB,KEWB,New Bedford Regional Airport,United States,41.676945,-70.959167,80,America
EWN,KEWN,New Bern Coastal Carolina Regional Airport,United States,35.072971,-77.0429,18,America
TBI,MYCB,New Bight Airport,Bahamas,24.315001,-75.453613,14,America
QQZ,KBAZ,New Braunfels Regional Airport,United States,29.703056,-98.041115,651,America
HVN,KHVN,New Haven Tweed Airport,United States,41.263748,-72.886803,12,America
ARA,KARA,New Iberia Acadiana Regional Airport,United States,30.03775,-91.883797,24,America
GON,KGON,New London Groton Airport,United States,41.327633,-72.0457,6,America
NEW,KNEW,New Orleans Lakefront Airport,United States,30.039444,-90.026665,9,America
MSY,KMSY,New Orleans Louis Armstrong International Airport,United States,29.99338,-90.258003,3,America
NPL,NZNP,New Plymouth Airport,New Zealand,-39.007812,174.177841,94,Pacific
RNH,KRNH,New Richmond Municipal Airport,United States,45.149738,-92.539536,989,America
QQB,KEVB,New Smyrna Beach Municipal Airport,United States,29.055555,-80.948891,10,America
KNW,PANW,New Stuyahok Airport,United States,59.449902,-157.328003,364,America
JRB,KJRB,New York Downtown Manhattan Heliport,United States,40.70121,-74.009003,7,America
JFK,KJFK,New York John F. Kennedy International Airport,United States,40.639751,-73.7789,14,America
LGA,KLGA,New York LaGuardia Airport,United States,40.777248,-73.872597,21,America
JRA,KJRA,New York Manhattan West 30th Street Heliport,United States,40.754875,-74.007278,1,America
EWR,KEWR,New York Newark Liberty International Airport,United States,40.692501,-74.168602,18,America
SWF,KSWF,New York Stewart International Airport,United States,41.504108,-74.104797,491,America
NCL,EGNT,Newcastle Airport,United Kingdom,55.037498,-1.69166,266,Europe
NTL,YWLM,Newcastle Airport,Australia,-32.794998,151.834396,31,Australia
BEO,YLMQ,Newcastle Lake Macquarie Airport,Australia,-33.06591,151.646133,4,Australia
ECS,KECS,Newcastle Mondell Field Airport,United States,43.884514,-104.314651,4151,America
ZNE,YNWN,Newman Airport,Australia,-23.4177,119.802696,1724,Australia
ONP,KONP,Newport Municipal Airport,United States,44.580276,-124.057777,160,America
PHF,KPHF,Newport News Williamsburg International Airport,United States,37.131889,-76.492897,42,America
NPT,KUUU,Newport State Airport,United States,41.532398,-71.281502,172,America
EFK,KEFK,Newport State Airport,United States,44.889606,-72.228043,927,America
NQY,EGHQ,Newquay Cornwall Airport,United Kingdom,50.440552,-4.9954,390,Europe
